Code,Dong,Counts
1114078,아현동,774
1114077,공덕동,819
1114075,도화동,633
1114059,용강동,144
1114060,대흥동,308
1114061,염리동,252
1114063,신수동,596
1114066,서교동,308
1114068,합정동,304
1114071,연남동,191
1114074,상암동,320
1114069,망원1동,740
1114070,망원2동,740
1114072,성산1동,721
1114073,성산2동,858
1114076,서강동,424
