code,dong,counts
1111051,월계1동,1528
1111052,월계2동,1528
1111053,월계3동,1528
1111056,공릉2동,1305
1111058,하계1동,789
1111059,하계2동,789
1111060,중계본동,2109
1111061,중계1동,2109
1111064,중계4동,2109
1111065,상계1동,3894
1111066,상계2동,3894
1111069,상계5동,3894
1111072,상계8동,3894
1111073,상계9동,3894
1111074,상계10동,3894
1111076,"상계3,4동",3894
1111077,"상계6,7동",3894
1111078,"중계2,3동",2109
1111079,공릉1동,1305
