code,dong,counts
1111051,월계1동,715
1111052,월계2동,715
1111053,월계3동,715
1111056,공릉2동,1214
1111058,하계1동,395
1111059,하계2동,395
1111060,중계본동,756
1111061,중계1동,756
1111064,중계4동,756
1111065,상계1동,2294
1111066,상계2동,2294
1111069,상계5동,2294
1111072,상계8동,2294
1111073,상계9동,2294
1111074,상계10동,2294
1111076,"상계3,4동",2294
1111077,"상계6,7동",2294
1111078,"중계2,3동",756
1111079,공릉1동,1214
